Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P5_i2,SIMU,1,237,18,153,10,20,19,71,10
Baxter,P5_i2,SIMU,2,239,14,152,9,20,14,61,12
Baxter,P5_i2,SIMU,3,245,7,153,8,18,11,42,12
Baxter,P5_i2,SIMU,5,240,7,152,7,18,11,42,20
Baxter,P5_i2,SIMU,10,231,5,146,5,16,7,36,20
Baxter,P5_i2,PLAN,0.1,252,87,165,18,31,87,209,8.1
Baxter,P5_i2,PLAN,1,248,114,161,14,28,31,141,10.2
Baxter,P5_i2,PLAN,2,250,134,161,16,30,26,131,12.2
Baxter,P5_i2,PLAN,3,248,175,160,10,29,24,113,16.1
Baxter,P5_i2,PLAN,5,235,126,150,5,19,8,38,12.2
Baxter,P5_i2,PLAN,10,233,126,152,9,20,7,36,12.2
Baxter,P5_i2,DOMAIN,0.1,282,218,188,24,47,79,339,10.2
Baxter,P5_i2,DOMAIN,1,274,127,189,27,46,79,339,10.2
Baxter,P5_i2,DOMAIN,2,267,142,183,18,46,121,265,12.1
Baxter,P5_i2,DOMAIN,3,252,89,165,10,27,44,91,8.2
Baxter,P5_i2,DOMAIN,5,264,129,179,18,37,90,169,12.2
Baxter,P5_i2,DOMAIN,10,259,128,167,8,23,32,63,12.2
Baxter,P5_i3,SIMU,0.1,248,66,163,14,28,67,145,6.5
Baxter,P5_i3,SIMU,1,235,8,148,6,15,9,29,7
Baxter,P5_i3,SIMU,2,223,5,140,4,14,6,23,8
Baxter,P5_i3,SIMU,3,222,4,138,4,14,5,21,9
Baxter,P5_i3,SIMU,5,221,3,137,4,13,4,19,10
Baxter,P5_i3,SIMU,10,224,2,139,4,13,3,17,10
Baxter,P5_i3,PLAN,0.1,235,66,152,13,27,67,145,6.5
Baxter,P5_i3,PLAN,1,230,66,143,5,16,9,29,6.5
Baxter,P5_i3,PLAN,2,224,66,141,4,16,6,23,6.5
Baxter,P5_i3,PLAN,3,231,66,143,4,15,5,21,6.5
Baxter,P5_i3,PLAN,5,224,66,141,4,15,4,19,6.5
Baxter,P5_i3,PLAN,10,227,66,144,4,15,3,17,6.5
Baxter,P5_i3,DOMAIN,0.1,233,131,148,4,15,9,30,6.5
Baxter,P5_i3,DOMAIN,1,242,73,157,4,16,9,30,6.5
Baxter,P5_i3,DOMAIN,2,234,70,149,6,16,9,27,6.5
Baxter,P5_i3,DOMAIN,3,248,69,162,7,16,9,26,6.5
Baxter,P5_i3,DOMAIN,5,246,68,158,5,16,9,25,6.5
Baxter,P5_i3,DOMAIN,10,237,67,153,2,15,9,24,6.5
Baxter,P5_i4,SIMU,0.1,257,158,174,26,42,158,351,15.2
Baxter,P5_i4,SIMU,1,235,22,150,9,22,22,79,16
Baxter,P5_i4,SIMU,2,229,14,146,6,19,14,63,16
Baxter,P5_i4,SIMU,3,236,17,153,13,23,21,112,21
Baxter,P5_i4,SIMU,5,229,8,144,5,17,10,41,20
Baxter,P5_i4,SIMU,10,228,15,144,8,20,26,71,40
Baxter,P5_i4,PLAN,0.1,256,158,170,29,42,158,351,15.2
Baxter,P5_i4,PLAN,1,242,171,158,11,28,30,118,16.1
Baxter,P5_i4,PLAN,2,241,171,155,11,26,22,102,16.1
Baxter,P5_i4,PLAN,3,243,226,160,14,30,28,134,21.4
Baxter,P5_i4,PLAN,5,239,221,155,11,28,18,93,21.1
Baxter,P5_i4,PLAN,10,246,449,162,9,31,17,91,43.4
Baxter,P5_i4,DOMAIN,0.1,264,332,177,21,35,32,173,16.1
Baxter,P5_i4,DOMAIN,1,261,188,176,19,31,32,173,16.1
Baxter,P5_i4,DOMAIN,2,245,166,160,8,23,25,62,15.4
Baxter,P5_i4,DOMAIN,3,255,168,173,20,42,99,194,15.4
Baxter,P5_i4,DOMAIN,5,254,226,171,19,37,75,154,21.1
Baxter,P5_i4,DOMAIN,10,258,241,176,17,37,85,148,23.4
Baxter,P6_i1,SIMU,0.1,252,76,167,18,32,77,169,7.5
Baxter,P6_i1,SIMU,1,237,9,153,8,18,10,35,8
Baxter,P6_i1,SIMU,2,233,5,148,7,16,6,27,8
Baxter,P6_i1,SIMU,3,233,4,149,5,17,5,25,9
Baxter,P6_i1,SIMU,5,233,3,149,6,16,8,29,10
Baxter,P6_i1,SIMU,10,232,2,148,6,16,5,23,10
Baxter,P6_i1,PLAN,0.1,240,76,168,20,32,77,169,7.5
Baxter,P6_i1,PLAN,1,235,76,150,5,18,10,35,7.5
Baxter,P6_i1,PLAN,2,242,76,154,6,17,6,27,7.5
Baxter,P6_i1,PLAN,3,238,76,154,7,17,5,25,7.5
Baxter,P6_i1,PLAN,5,245,76,157,4,17,4,23,7.5
Baxter,P6_i1,PLAN,10,244,76,160,5,16,3,21,7.5
Baxter,P6_i1,DOMAIN,0.1,247,151,163,9,21,10,36,7.5
Baxter,P6_i1,DOMAIN,1,242,84,159,8,20,10,36,7.5
Baxter,P6_i1,DOMAIN,2,241,80,158,8,19,10,32,7.5
Baxter,P6_i1,DOMAIN,3,243,79,156,7,18,10,31,7.5
Baxter,P6_i1,DOMAIN,5,246,78,162,7,18,10,30,7.5
Baxter,P6_i1,DOMAIN,10,240,77,156,6,16,10,29,7.5
Baxter,P6_i2,SIMU,0.1,375,111,305,135,162,984,4037,6.1
Baxter,P6_i2,SIMU,1,259,18,175,28,41,45,274,8
Baxter,P6_i2,SIMU,2,235,7,148,4,16,5,25,6
Baxter,P6_i2,SIMU,3,230,6,149,6,15,4,23,6
Baxter,P6_i2,SIMU,5,234,6,149,6,16,4,23,10
Baxter,P6_i2,SIMU,10,230,4,144,6,15,4,23,20
Baxter,P6_i2,PLAN,0.1,376,111,303,126,163,984,4037,6.1
Baxter,P6_i2,PLAN,1,252,81,165,17,32,24,157,6.5
