Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P6_i3,SIMU,0.2,405,104,334,164,204,977,4142,10.8
Baxter,P6_i3,SIMU,0.5,339,55,269,118,139,472,2224,11.5
Baxter,P6_i3,SIMU,1,298,29,215,59,83,238,1001,13
Baxter,P6_i3,SIMU,2,271,18,200,50,66,149,707,16
Baxter,P6_i3,PLAN,0.1,582,197,498,308,362,2005,8925,10.5
Baxter,P6_i3,PLAN,0.2,358,173,270,110,137,329,2167,10.5
Baxter,P6_i3,PLAN,0.5,284,180,200,56,69,119,742,10.6
Baxter,P6_i3,PLAN,1,248,153,179,28,48,51,338,11.1
Baxter,P6_i3,PLAN,2,259,147,176,23,41,28,199,12.1
Baxter,P6_i3,DOMAIN,0.1,292,264,206,40,59,54,418,11.1
Baxter,P6_i3,DOMAIN,0.2,276,209,203,32,57,54,418,11.1
Baxter,P6_i3,DOMAIN,0.5,276,176,192,31,55,54,418,11.1
Baxter,P6_i3,DOMAIN,1,289,165,193,35,54,54,418,11.1
Baxter,P6_i3,DOMAIN,2,263,154,184,24,46,81,220,12.1
Baxter,P6_i4,SIMU,0.1,13294,174,13215,11965,13082,172342,482019,16.7
Baxter,P6_i4,SIMU,0.2,272,91,186,28,44,103,293,16.8
Baxter,P6_i4,SIMU,0.5,256,42,170,13,29,39,109,17.5
Baxter,P6_i4,SIMU,1,259,25,169,12,24,22,75,18
Baxter,P6_i4,SIMU,2,TO,-,-,-,-,-,-,-
Baxter,P6_i4,PLAN,0.1,12562,174,12484,11171,12346,172342,482019,16.7
Baxter,P6_i4,PLAN,0.2,1603,174,1512,1193,1374,16217,48939,16.7
Baxter,P6_i4,PLAN,0.5,307,176,221,48,69,191,809,16.9
Baxter,P6_i4,PLAN,1,248,176,163,10,25,21,73,16.9
Baxter,P6_i4,PLAN,2,255,186,165,11,25,13,57,17.9
Baxter,P6_i4,DOMAIN,0.1,264,345,178,10,26,21,75,16.9
Baxter,P6_i4,DOMAIN,0.2,270,261,179,9,27,21,75,16.9
Baxter,P6_i4,DOMAIN,0.5,265,210,174,12,26,21,75,16.9
Baxter,P6_i4,DOMAIN,1,261,193,173,13,26,21,75,16.9
Baxter,P6_i4,DOMAIN,2,261,195,171,10,25,22,68,17.9
Baxter,P6_i5,SIMU,0.1,280,167,191,31,48,165,361,16.1
Baxter,P6_i5,SIMU,0.2,270,87,181,25,39,85,201,16.2
Baxter,P6_i5,SIMU,0.5,286,39,193,21,46,37,105,16.5
Baxter,P6_i5,SIMU,1,256,23,162,10,24,21,73,17
Baxter,P6_i5,SIMU,2,254,15,159,10,21,13,57,18
Baxter,P6_i5,PLAN,0.1,274,167,186,31,48,165,361,16.1
Baxter,P6_i5,PLAN,0.2,271,167,180,25,39,85,201,16.1
Baxter,P6_i5,PLAN,0.5,256,167,167,12,28,37,105,16.1
Baxter,P6_i5,PLAN,1,263,167,171,14,26,21,73,16.1
Baxter,P6_i5,PLAN,2,255,177,162,10,24,13,57,17.1
Baxter,P6_i5,DOMAIN,0.1,278,328,181,13,30,22,96,16.1
Baxter,P6_i5,DOMAIN,0.2,264,248,178,11,29,22,96,16.1
Baxter,P6_i5,DOMAIN,0.5,278,200,191,16,29,22,96,16.1
Baxter,P6_i5,DOMAIN,1,268,184,180,13,29,22,96,16.1
Baxter,P6_i5,DOMAIN,2,265,208,181,13,33,35,101,18.9
Baxter,P7_i1,SIMU,0.1,817,392,736,524,590,2840,13313,27.6
Baxter,P7_i1,SIMU,0.2,321,135,231,67,86,281,917,24
Baxter,P7_i1,SIMU,0.5,283,60,199,34,55,104,330,24.5
Baxter,P7_i1,SIMU,1,268,36,185,31,43,43,223,25
Baxter,P7_i1,SIMU,2,263,24,178,21,34,24,125,26
Baxter,P7_i1,PLAN,0.1,808,392,717,513,572,2840,13313,27.6
Baxter,P7_i1,PLAN,0.2,406,375,320,147,178,468,3268,27.7
Baxter,P7_i1,PLAN,0.5,312,337,225,60,80,124,788,27.7
Baxter,P7_i1,PLAN,1,297,323,209,42,66,70,502,28.5
Baxter,P7_i1,PLAN,2,282,315,196,32,50,35,249,29.5
Baxter,P7_i1,DOMAIN,0.1,286,341,198,22,36,22,108,16.7
Baxter,P7_i1,DOMAIN,0.2,292,258,199,20,37,22,108,16.7
Baxter,P7_i1,DOMAIN,0.5,282,208,192,19,36,22,108,16.7
Baxter,P7_i1,DOMAIN,1,289,191,201,18,37,22,108,16.7
Baxter,P7_i1,DOMAIN,2,271,193,185,17,33,23,77,17.7
Baxter,P7_i2,SIMU,0.1,330,218,241,58,87,392,1054,21.1
Baxter,P7_i2,SIMU,0.2,280,111,196,34,56,142,425,21.2
Baxter,P7_i2,SIMU,0.5,296,48,205,34,50,76,296,21.5
Baxter,P7_i2,SIMU,1,286,27,195,28,46,55,254,22
Baxter,P7_i2,SIMU,2,263,17,178,21,33,26,124,24
Baxter,P7_i2,PLAN,0.1,328,218,240,64,87,392,1054,21.1
Baxter,P7_i2,PLAN,0.2,287,219,199,35,55,132,371,21.2
Baxter,P7_i2,PLAN,0.5,277,218,191,30,41,53,161,21.3
Baxter,P7_i2,PLAN,1,265,218,182,18,37,32,119,21.3
Baxter,P7_i2,PLAN,2,283,228,194,19,39,21,98,22.3
Baxter,P7_i2,DOMAIN,0.1,301,431,207,22,44,31,145,21.3
Baxter,P7_i2,DOMAIN,0.2,292,325,201,21,41,31,145,21.3
Baxter,P7_i2,DOMAIN,0.5,274,261,196,24,41,31,145,21.3
Baxter,P7_i2,DOMAIN,1,281,240,207,22,42,31,145,21.3
Baxter,P7_i2,DOMAIN,2,288,242,200,21,45,55,158,22.3
Baxter,P7_i3,SIMU,0.1,948,324,859,648,713,3392,16744,22.5
Baxter,P7_i3,SIMU,0.2,577,164,495,302,350,1586,7493,22.6
Baxter,P7_i3,SIMU,0.5,424,82,351,183,208,771,3666,23.5
Baxter,P7_i3,SIMU,1,257,23,172,16,29,22,83,18
Baxter,P7_i3,SIMU,2,259,14,174,12,25,13,65,18
Baxter,P7_i3,PLAN,0.1,984,324,892,674,745,3392,16744,22.5
Baxter,P7_i3,PLAN,0.2,425,299,338,165,194,487,3583,22.5
Baxter,P7_i3,PLAN,0.5,386,294,300,125,159,596,2417,23.2
Baxter,P7_i3,PLAN,1,301,280,213,44,69,73,547,23.2
Baxter,P7_i3,PLAN,2,265,171,178,13,29,13,65,16.2
Baxter,P7_i3,DOMAIN,0.1,329,512,243,52,86,85,746,23.2
Baxter,P7_i3,DOMAIN,0.2,323,396,235,55,85,85,746,23.2
Baxter,P7_i3,DOMAIN,0.5,321,327,236,57,84,85,746,23.2
Baxter,P7_i3,DOMAIN,1,330,304,243,58,85,85,746,23.2
Baxter,P7_i3,DOMAIN,2,309,285,219,33,66,133,375,24.2
Baxter,P7_i4,SIMU,0.1,466,182,378,192,231,1031,4714,15.2
Baxter,P7_i4,SIMU,0.2,415,96,326,142,178,698,3336,15.6
Baxter,P7_i4,SIMU,0.5,326,41,238,71,93,250,1082,15.5
Baxter,P7_i4,SIMU,1,279,24,195,34,50,71,312,16
Baxter,P7_i4,SIMU,2,268,22,182,27,42,33,197,20
Baxter,P7_i4,PLAN,0.1,463,182,373,188,228,1031,4714,15.2
Baxter,P7_i4,PLAN,0.2,340,179,235,66,89,180,1081,15.5
Baxter,P7_i4,PLAN,0.5,297,166,208,34,57,67,393,15.4
Baxter,P7_i4,PLAN,1,269,167,182,22,38,26,130,15.9
Baxter,P7_i4,PLAN,2,268,179,183,20,36,17,113,16.9
Baxter,P7_i4,DOMAIN,0.1,295,326,207,29,51,38,243,15.9
Baxter,P7_i4,DOMAIN,0.2,289,247,200,28,48,38,243,15.9
Baxter,P7_i4,DOMAIN,0.5,292,199,203,35,50,38,243,15.9
Baxter,P7_i4,DOMAIN,1,291,183,204,32,51,38,243,15.9
Baxter,P7_i4,DOMAIN,2,311,257,223,37,69,153,394,22.3
Baxter,P7_i5,SIMU,0.1,958,434,881,671,737,4572,18074,37.2
Baxter,P7_i5,SIMU,0.2,640,221,550,366,406,2133,8668,37.4
Baxter,P7_i5,SIMU,0.5,350,94,277,107,133,503,1927,38
Baxter,P7_i5,SIMU,1,293,56,208,39,54,95,334,40
Baxter,P7_i5,SIMU,2,278,37,190,33,46,69,244,42
Baxter,P7_i5,PLAN,0.1,966,434,891,679,746,4572,18074,37.2
