Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P7_i2,PLAN,100,2129,1490,2036,1633,1898,1715,6023,1411
Baxter,P7_i2,DOMAIN,1,TO,-,-,-,-,-,-,-
Baxter,P7_i2,DOMAIN,2,6374,46,6295,6011,6150,4501,37443,23
Baxter,P7_i2,DOMAIN,3,10544,53,10465,10044,10318,21581,65060,28
Baxter,P7_i2,DOMAIN,5,300,39,226,61,79,37,134,26
Baxter,P7_i2,DOMAIN,10,TO,-,-,-,-,-,-,-
Baxter,P7_i2,DOMAIN,50,365,149,275,109,131,148,219,131
Baxter,P7_i2,DOMAIN,100,TO,-,-,-,-,-,-,-
Baxter,P7_i3,SIMU,1,TO,-,-,-,-,-,-,-
Baxter,P7_i3,SIMU,2,TO,-,-,-,-,-,-,-
Baxter,P7_i3,SIMU,3,TO,-,-,-,-,-,-,-
Baxter,P7_i3,SIMU,5,TO,-,-,-,-,-,-,-
Baxter,P7_i3,SIMU,10,29394,9,29304,28298,29169,60328,322420,30
Baxter,P7_i3,SIMU,50,2722,28,2646,2388,2513,11041,24571,200
Baxter,P7_i3,SIMU,100,2654,28,2577,2324,2442,11041,24571,400
Baxter,P7_i3,PLAN,1,TO,-,-,-,-,-,-,-
Baxter,P7_i3,PLAN,2,TO,-,-,-,-,-,-,-
Baxter,P7_i3,PLAN,3,TO,-,-,-,-,-,-,-
Baxter,P7_i3,PLAN,5,TO,-,-,-,-,-,-,-
Baxter,P7_i3,PLAN,10,332,38,212,59,74,8,54,28
Baxter,P7_i3,PLAN,50,298,72,208,56,73,6,51,58
Baxter,P7_i3,PLAN,100,296,128,209,55,74,6,51,108
Baxter,P7_i3,DOMAIN,1,TO,-,-,-,-,-,-,-
Baxter,P7_i3,DOMAIN,2,TO,-,-,-,-,-,-,-
Baxter,P7_i3,DOMAIN,3,TO,-,-,-,-,-,-,-
Baxter,P7_i3,DOMAIN,5,381,35,305,138,161,149,436,18
Baxter,P7_i3,DOMAIN,10,291,29,206,50,66,23,70,18
Baxter,P7_i3,DOMAIN,50,TO,-,-,-,-,-,-,-
Baxter,P7_i3,DOMAIN,100,TO,-,-,-,-,-,-,-
Baxter,P7_i4,SIMU,1,TO,-,-,-,-,-,-,-
Baxter,P7_i4,SIMU,2,TO,-,-,-,-,-,-,-
Baxter,P7_i4,SIMU,3,TO,-,-,-,-,-,-,-
Baxter,P7_i4,SIMU,5,293,20,206,57,72,38,219,30
Baxter,P7_i4,SIMU,10,TO,-,-,-,-,-,-,-
Baxter,P7_i4,SIMU,50,266,13,178,22,39,16,60,100
Baxter,P7_i4,SIMU,100,263,13,176,24,38,16,60,200
